,Team,Nationality,Position,Age,Potential,Name
148,Roma,Bosnia & Herzegovina,Segundo Delantero,34,Muy Bueno,Edin Dzeko
149,Sevilla FC,Argentina,Mediocampista Defensivo Central|Mediocampista Central,32,Muy Bueno,Éver Banega
150,Cagliari,Belgium,Mediocampista Central|Centrocampista Ofensivo Central|Delantero Centro,32,Muy Bueno,Radja Nainggolan
151,Real Madrid,Brazil,Defensor Lateral Izquierdo,32,Muy Bueno,Marcelo
152,Lazio,Brazil,Mediocampista Defensivo Central,33,Muy Bueno,Lucas Leiva
153,Juventus,France,Mediocampista Defensivo Central|Mediocampista Central,33,Muy Bueno,Blaise Matuidi
154,Torino,Italy,Arquero,33,Muy Bueno,Salvatore Sirigu
155,Wolverhampton Wanderers,Portugal,Mediocampista Central,33,Muy Bueno,João Moutinho
156,FC Barcelona,France,Extremo Derecho|Extremo Izquierdo,23,Sobresaliente,Ousmane Dembélé
157,Grêmio,Brazil,Centrocampista Ofensivo Central|Extremo Derecho,28,Muy Bueno,Ronaldo Cabrais
158,Grêmio,Brazil,Defensor Central,28,Muy Bueno,Josué Chiamulera
159,Atlético Mineiro,Brazil,Segundo Delantero|Delantero Centro,28,Muy Bueno,Louri Beretta
160,Real Sociedad,Spain,Extremo Derecho|Extremo Izquierdo,23,Muy Bueno,Oyarzabal
161,Napoli,Spain,Mediocampista Central,24,Muy Bueno,Fabián
162,Ajax,Netherlands,Mediocampista Central|Centrocampista Ofensivo Central,23,Muy Bueno,Donny van de Beek
163,Roma,Spain,Arquero,25,Muy Bueno,Pau López
164,Getafe CF,Togo,Defensor Central,28,Muy Bueno,Dakonam Djené
165,SL Benfica,Portugal,Mediocampista Derecho|Mediocampista Izquierdo,27,Muy Bueno,Rafa
166,TSG 1899 Hoffenheim,Croatia,Segundo Delantero|Centrocampista Ofensivo Central,29,Muy Bueno,Andrej Kramaric
167,Inter,Croatia,Mediocampista Defensivo Central|Mediocampista Central,27,Muy Bueno,Marcelo Brozovic
168,Atalanta,Colombia,Segundo Delantero,29,Muy Bueno,Duván Zapata
169,Guangzhou Evergrande Taobao FC,Brazil,Centrocampista Ofensivo Central|Extremo Derecho,26,Muy Bueno,Anderson Talisca
170,Lazio,lbania,Arquero,25,Muy Bueno,Thomas Strakosha
171,Manchester United,France,Segundo Delantero,24,Muy Bueno,Anthony Martial
172,Ajax,Argentina,Defensor Lateral Izquierdo,27,Muy Bueno,Nicolás Tagliafico
173,Tottenham Hotspur,England,Mediocampista Central|Centrocampista Ofensivo Central,24,Muy Bueno,Dele Alli
174,Milan,Italy,Defensor Central,25,Muy Bueno,Alessio Romagnoli
175,SL Benfica,Spain,Defensor Lateral Izquierdo,24,Muy Bueno,Grimaldo
176,Borussia Dortmund,Portugal,Defensor Lateral Izquierdo|Mediocampista Izquierdo|Mediocampista Central,26,Muy Bueno,Raphaël Guerreiro
177,Ajax,Netherlands,Centrocampista Ofensivo Central|Extremo Izquierdo,28,Muy Bueno,Quincy Promes
178,Eintracht Frankfurt,Serbia,Defensor Extremo Izquierdo|Mediocampista Izquierdo|Extremo Izquierdo,27,Muy Bueno,Filip Kostic
179,Atlético Madrid,Belgium,Mediocampista Izquierdo,26,Muy Bueno,Yannick Carrasco
180,Chelsea,Spain,Arquero,25,Muy Bueno,Kepa
181,Medipol Basaksehir FK,Bosnia & Herzegovina,Mediocampista Derecho,30,Muy Bueno,Edin Višca
182,Napoli,Poland,Segundo Delantero,26,Muy Bueno,Arkadiusz Milik
183,Real Sociedad,Spain,Mediocampista Derecho|Delantero Centro|Extremo Derecho,28,Muy Bueno,Portu
184,Olympique de Marseille,France,Mediocampista Derecho|Extremo Derecho,27,Muy Bueno,Florian Thauvin
185,RB Leipzig,Austria,Mediocampista Central|Centrocampista Ofensivo Central,26,Muy Bueno,Marcel Sabitzer
186,Wolverhampton Wanderers,Mexico,Segundo Delantero,29,Muy Bueno,Raúl Jiménez
187,Atlético Madrid,Montenegro,Defensor Central,29,Muy Bueno,Stefan Savic
188,Borussia Dortmund,Belgium,Mediocampista Derecho|Mediocampista Izquierdo|Delantero Centro,27,Muy Bueno,Thorgan Hazard
189,Manchester United,England,Defensor Central,27,Muy Bueno,Harry Maguire
190,Valencia CF,Brazil,Defensor Central,29,Muy Bueno,Gabriel Paulista
191,Atlético Madrid,Spain,Segundo Delantero,27,Muy Bueno,Morata
192,Everton,France,Defensor Lateral Izquierdo,27,Muy Bueno,Lucas Digne
193,Ajax,Serbia,Centrocampista Ofensivo Central|Delantero Centro|Extremo Izquierdo,31,Muy Bueno,Dušan Tadic
194,Bayer 04 Leverkusen,Chile,Mediocampista Defensivo Central|Mediocampista Central,31,Muy Bueno,Charles Aránguiz
195,Paris Saint-Germain,Spain,Centrocampista Ofensivo Central|Extremo Derecho,28,Muy Bueno,Pablo Sarabia
196,Crystal Palace,Ivory Coast,Mediocampista Izquierdo|Delantero Centro,27,Muy Bueno,Wilfried Zaha
197,Valencia CF,Spain,Segundo Delantero,29,Muy Bueno,Rodrigo
198,Real Betis,Spain,Defensor Central|Mediocampista Defensivo Central,29,Muy Bueno,Bartra
199,FC Bayern München,Austria,Defensor Lateral Izquierdo|Defensor Central,28,Muy Bueno,David Alaba
200,Liverpool,Cameroon,Defensor Central,28,Muy Bueno,Joel Matip
201,Juventus,Colombia,Defensor Lateral Derecho|Mediocampista Derecho|Extremo Derecho,32,Muy Bueno,Juan Cuadrado
202,VfL Wolfsburg,Belgium,Arquero,28,Muy Bueno,Koen Casteels
203,Bayer 04 Leverkusen,Finland,Arquero,30,Muy Bueno,Lukáš Hrádecky
204,Ajax,Netherlands,Defensor Lateral Izquierdo|Defensor Central|Mediocampista Defensivo Central,30,Muy Bueno,Daley Blind
205,Athletic Club,Spain,Centrocampista Ofensivo Central|Extremo Derecho|Extremo Izquierdo,27,Muy Bueno,Muniain
206,Eintracht Frankfurt,Germany,Arquero,30,Muy Bueno,Kevin Trapp
207,Manchester City,England,Defensor Lateral Derecho,30,Muy Bueno,Kyle Walker
208,Juventus,Wales,Mediocampista Central|Centrocampista Ofensivo Central,29,Muy Bueno,Aaron Ramsey
209,Shanghai SIPG FC,Austria,Segundo Delantero,31,Muy Bueno,Marko Arnautovic
210,Fenerbahçe SK,Germany,Segundo Delantero|Centrocampista Ofensivo Central,32,Muy Bueno,Max Kruse
211,FC Bayern München,Croatia,Mediocampista Izquierdo|Extremo Izquierdo,31,Muy Bueno,Ivan Perišic
